round,algorithm,seed,tfp_target_ratio,tfp_max_history_gap,tfp_score_type,tfp_target_layers,tfp_start_round,test_accuracy,round_train_seconds,selected_clients,task_seeds,global_state_sha256,clients_with_history,clients_history_eligible,clients_targeted,clients_dispatch_changed,clients_cold_start,clients_stale,clients_no_valid_history,clients_no_target_slots,clients_before_start_round,total_reset_slots,targeted_reset_slots,random_reset_slots,actual_target_fraction,baseline_random_overlap_slots,baseline_random_overlap_rate,replaced_reset_slots,mean_history_gap_for_targeted,history_memory_bytes,controller_rng_unchanged,failed_client_updates,residual_total_kernels,residual_valid_kernels,residual_valid_fraction,residual_own_reset_invalid,residual_no_clean_peer_invalid
1,TargetedFedPhoenix,1,0.25,10,update_norm,all,151,10.0,16.91383639999549,"[80, 84, 33, 81, 93, 17, 36, 82, 69, 65]","[200001, 200998, 201995, 202992, 203989, 204986, 205983, 206980, 207977, 208974]",a54a841b1d8aaeb288f234a154b547d09329b79e22caa07bce35605dcd56155e,0,0,0,0,0,0,0,0,10,660,0,660,0.0,0,0.0,0,,211280,True,0,0,0,,0,0
2,TargetedFedPhoenix,1,0.25,10,update_norm,all,151,13.229999542236328,9.41392000002088,"[44, 96, 1, 35, 26, 11, 38, 82, 87, 3]","[300004, 301001, 301998, 302995, 303992, 304989, 305986, 306983, 307980, 308977]",2194ac717a388eb692c5e8dbcfd4582c630ebbca68c3432af3aa44c25f01c179,1,1,0,0,0,0,0,0,10,660,0,660,0.0,0,0.0,0,,401432,True,0,0,0,,0,0
3,TargetedFedPhoenix,1,0.25,10,update_norm,all,151,12.229999542236328,9.56331619998673,"[95, 67, 96, 71, 1, 80, 99, 45, 52, 27]","[400007, 401004, 402001, 402998, 403995, 404992, 405989, 406986, 407983, 408980]",464268fdecd2a7461cd6b6d423aeb6f70e76c845b2bdb10244a52cdd3f26ab5a,3,3,0,0,0,0,0,0,10,660,0,660,0.0,0,0.0,0,,549328,True,0,0,0,,0,0
4,TargetedFedPhoenix,1,0.25,10,update_norm,all,151,16.290000915527344,10.41513149999082,"[40, 10, 96, 66, 89, 32, 95, 55, 25, 5]","[500010, 501007, 502004, 503001, 503998, 504995, 505992, 506989, 507986, 508983]",e22f19850d9ffd368150cc18dcfce18ed881198cdbb4732274eb2ba7b4f44ea6,2,2,0,0,0,0,0,0,10,660,0,660,0.0,0,0.0,0,,718352,True,0,0,0,,0,0
5,TargetedFedPhoenix,1,0.25,10,update_norm,all,151,32.41999816894531,7.546653299999889,"[89, 99, 45, 96, 72, 9, 74, 88, 1, 38]","[600013, 601010, 602007, 603004, 604001, 604998, 605995, 606992, 607989, 608986]",dec108ab3bddc195ba215513fa42218f87170fb81aa3f55e61013047af4886ce,6,6,0,0,0,0,0,0,10,660,0,660,0.0,0,0.0,0,,802864,True,0,0,0,,0,0
6,TargetedFedPhoenix,1,0.25,10,update_norm,all,151,17.6200008392334,11.673999999999069,"[0, 86, 4, 23, 24, 1, 62, 83, 66, 93]","[700016, 701013, 702010, 703007, 704004, 705001, 705998, 706995, 707992, 708989]",2a589299f75dc9f48b5bf8dc473cb0fb39c645bc9af3f2b430bd9e12c4cc3b78,3,3,0,0,0,0,0,0,10,660,0,660,0.0,0,0.0,0,,950760,True,0,0,0,,0,0
7,TargetedFedPhoenix,1,0.25,10,update_norm,all,151,24.139999389648438,9.743773499998497,"[6, 59, 72, 30, 91, 43, 75, 76, 15, 61]","[800019, 801016, 802013, 803010, 804007, 805004, 806001, 806998, 807995, 808992]",8334d2af90c834b0ce15a5af328493a8d27a0f9bc380131c06d39f189d91a950,1,1,0,0,0,0,0,0,10,660,0,660,0.0,0,0.0,0,,1140912,True,0,0,0,,0,0
8,TargetedFedPhoenix,1,0.25,10,update_norm,all,151,23.68000030517578,10.483330700022634,"[44, 88, 74, 48, 59, 79, 25, 52, 45, 55]","[900022, 901019, 902016, 903013, 904010, 905007, 906004, 907001, 907998, 908995]",0ac5b8aa96c895ebcb3079902ee2ce786b998f818a103b57cd0b0ad8f66979d5,8,8,0,0,0,0,0,0,10,660,0,660,0.0,0,0.0,0,,1183168,True,0,0,0,,0,0
9,TargetedFedPhoenix,1,0.25,10,update_norm,all,151,30.1299991607666,11.397299200005364,"[3, 60, 35, 33, 22, 66, 45, 68, 67, 75]","[1000025, 1001022, 1002019, 1003016, 1004013, 1005010, 1006007, 1007004, 1008001, 1008998]",c39a40875e3ecaa80fa41e132e67e6c788407cc8faf11d2f66eeeca91e0fb7d4,7,7,0,0,0,0,0,0,10,660,0,660,0.0,0,0.0,0,,1246552,True,0,0,0,,0,0
10,TargetedFedPhoenix,1,0.25,10,update_norm,all,151,29.729999542236328,13.385037700005341,"[64, 91, 12, 52, 16, 65, 50, 68, 33, 30]","[1100028, 1101025, 1102022, 1103019, 1104016, 1105013, 1106010, 1107007, 1108004, 1109001]",ef68434933199d80bb34ae08584a2e009f046e61f3635c49204e19e80e496515,6,6,0,0,0,0,0,0,10,660,0,660,0.0,0,0.0,0,,1331064,True,0,0,0,,0,0
11,TargetedFedPhoenix,1,0.25,10,update_norm,all,151,38.22999954223633,12.99615900000208,"[54, 27, 23, 37, 75, 33, 41, 46, 52, 24]","[1200031, 1201028, 1202025, 1203022, 1204019, 1205016, 1206013, 1207010, 1208007, 1209004]",1df4f27e7c01ea33e7dac5834f33f86fbef5b1f212635254837d7bbe815636cb,6,6,0,0,0,0,0,0,10,660,0,660,0.0,0,0.0,0,,1415576,True,0,0,0,,0,0
12,TargetedFedPhoenix,1,0.25,10,update_norm,all,151,36.90999984741211,10.11123690000386,"[54, 45, 28, 44, 15, 1, 93, 12, 88, 40]","[1300034, 1301031, 1302028, 1303025, 1304022, 1305019, 1306016, 1307013, 1308010, 1309007]",69f516a41de82d3c552c6771ea41db758dee008c7260acfdad1ad3dc91cfdf85,9,9,0,0,0,0,0,0,10,660,0,660,0.0,0,0.0,0,,1436704,True,0,0,0,,0,0
13,TargetedFedPhoenix,1,0.25,10,update_norm,all,151,38.220001220703125,12.87018800000078,"[70, 75, 5, 68, 36, 79, 72, 78, 57, 44]","[1400037, 1401034, 1402031, 1403028, 1404025, 1405022, 1406019, 1407016, 1408013, 1409010]",7bc03e17d2d6ecd6d8aeeacde99452c651540a8cc851e6384a9187a84eebe014,7,6,0,0,0,0,0,0,10,660,0,660,0.0,0,0.0,0,,1500088,True,0,0,0,,0,0
