source_algorithm,seed,round,client_id,client_visit_index,participation_gap,task_id,task_seed,num_reset_kernels,local_update_norm,dispatch_minus_global_norm,input_change_norm,response_change_norm,secant_gain,response_change_ratio,h_norm,input_direction_cosine,response_direction_cosine,response_norm_ratio,response_prediction_nre,predicted_support,realized_support,support_sign_agreement
FedPhoenix,1,1,80,1,,0,200001,66,2.1389951705932617,6.638560771942139,,,,,,,,,,,,
FedPhoenix,1,1,65,1,,9,208974,66,2.060925006866455,6.634742736816406,,,,,,,,,,,,
FedPhoenix,1,2,96,1,,1,301001,66,1.1414204835891724,6.554161548614502,,,,,,,,,,,,
FedPhoenix,1,3,96,2,1,2,402001,66,1.1081209182739258,6.464497089385986,9.203078269958496,1.4930862188339233,0.16223769645724143,0.6637291572391897,0.16242776811122894,,,,,,,
FedPhoenix,1,3,80,2,2,5,404992,66,2.4891273975372314,6.449558734893799,9.385401725769043,3.1906347274780273,0.339957182516473,0.6894015187601609,0.34050899744033813,,,,,,,
FedPhoenix,1,4,96,3,1,2,502004,66,1.1077752113342285,6.39382791519165,9.212176322937012,1.459491491317749,0.15843069435000542,0.6586461665850637,0.15836545825004578,-0.47517699021941506,-0.4825953703092332,0.9750615255036875,0.8585844837706956,0.003962393384426832,-0.0033153980039060116,0
FedPhoenix,1,5,96,4,1,3,603004,66,1.0762351751327515,6.272400379180908,8.99944019317627,1.4248676300048828,0.1583284737071885,0.6524088158340693,0.15814213454723358,-0.46495017225207946,-0.5006980480143062,0.9986632094108872,0.8636777270293683,0.002762714633718133,-0.003580313641577959,0
FedPhoenix,1,5,88,1,,7,606992,66,1.4306814670562744,6.24225378036499,,,,,,,,,,,,
FedPhoenix,1,6,62,1,,6,705998,66,2.026528835296631,6.180276870727539,,,,,,,,,,,,
FedPhoenix,1,8,88,2,3,1,901019,66,1.3285807371139526,6.053503036499023,9.12575626373291,1.862758994102478,0.20412105476728,0.6750931431186609,0.20384833216667175,,,,,,,
FedPhoenix,1,10,64,1,,0,1100028,66,1.3764383792877197,5.891170978546143,,,,,,,,,,,,
FedPhoenix,1,10,16,1,,4,1104016,66,2.0007243156433105,5.893074035644531,,,,,,,,,,,,
FedPhoenix,1,10,65,2,9,5,1105013,66,2.196795701980591,5.925828456878662,11.305974006652832,2.931781530380249,0.25931260134286765,0.6885800480730596,0.2592983841896057,,,,,,,
FedPhoenix,1,12,88,3,4,8,1308010,66,1.459808349609375,5.766198635101318,9.23940658569336,1.8981413841247559,0.20543975054238905,0.6807304594476826,0.20514072477817535,-0.37363272668377223,-0.4514210306603254,1.0063690295780892,0.8517991214563412,0.0004898429033346474,-0.0006974376738071442,0
FedPhoenix,1,14,16,2,4,9,1509013,66,1.5535188913345337,5.648736953735352,8.91423511505127,2.394986867904663,0.2686699236663133,0.6738387691652746,0.26846471428871155,,,,,,,
FedPhoenix,1,16,88,4,4,6,1706028,66,1.359330177307129,5.405157089233398,8.661898612976074,1.8810622692108154,0.21716512201985919,0.6672471931585434,0.21698981523513794,-0.34743461752215077,-0.5391878734103215,1.057793753625077,0.8750164499953008,-0.0005029916646890342,-0.0005809875437989831,1
