round,algorithm,seed,tfp_target_ratio,tfp_max_history_gap,tfp_score_type,tfp_target_layers,tfp_start_round,test_accuracy,round_train_seconds,selected_clients,task_seeds,global_state_sha256,clients_with_history,clients_history_eligible,clients_targeted,clients_dispatch_changed,clients_cold_start,clients_stale,clients_no_valid_history,clients_no_target_slots,clients_before_start_round,total_reset_slots,targeted_reset_slots,random_reset_slots,actual_target_fraction,baseline_random_overlap_slots,baseline_random_overlap_rate,replaced_reset_slots,mean_history_gap_for_targeted,history_memory_bytes,controller_rng_unchanged,failed_client_updates,residual_total_kernels,residual_valid_kernels,residual_valid_fraction,residual_own_reset_invalid,residual_no_clean_peer_invalid
1,TargetedFedPhoenix,1,0.125,10,update_norm,all,1,10.0,16.830677599995397,"[80, 84, 33, 81, 93, 17, 36, 82, 69, 65]","[200001, 200998, 201995, 202992, 203989, 204986, 205983, 206980, 207977, 208974]",a54a841b1d8aaeb288f234a154b547d09329b79e22caa07bce35605dcd56155e,0,0,0,0,10,0,0,0,0,660,0,660,0.0,0,0.0,0,,211280,True,0,0,0,,0,0
2,TargetedFedPhoenix,1,0.125,10,update_norm,all,1,14.279999732971191,9.335974399989937,"[44, 96, 1, 35, 26, 11, 38, 82, 87, 3]","[300004, 301001, 301998, 302995, 303992, 304989, 305986, 306983, 307980, 308977]",affe24f0745f2ea9f935f1268901849a6ae4e1a134333c7098e9d52e1ec58710,1,1,1,1,9,0,0,0,0,660,6,654,0.00909090909090909,0,0.0,6,1.0,401432,True,0,0,0,,0,0
3,TargetedFedPhoenix,1,0.125,10,update_norm,all,1,12.020000457763672,9.542743199999677,"[95, 67, 96, 71, 1, 80, 99, 45, 52, 27]","[400007, 401004, 402001, 402998, 403995, 404992, 405989, 406986, 407983, 408980]",b8291236856aecacf216f80b38d92f1bf2fd454b2faae9f59ca2f898f0157819,3,3,3,3,7,0,0,0,0,660,18,642,0.02727272727272727,0,0.0,18,1.3333333333333333,549328,True,0,0,0,,0,0
4,TargetedFedPhoenix,1,0.125,10,update_norm,all,1,15.729999542236328,10.492158999986714,"[40, 10, 96, 66, 89, 32, 95, 55, 25, 5]","[500010, 501007, 502004, 503001, 503998, 504995, 505992, 506989, 507986, 508983]",7e5c97fad15ac08d7469bf57c1c913efbc72a4f26d4270d37fd660c63d9533ce,2,2,2,2,8,0,0,0,0,660,12,648,0.01818181818181818,0,0.0,12,1.0,718352,True,0,0,0,,0,0
5,TargetedFedPhoenix,1,0.125,10,update_norm,all,1,32.41999816894531,7.590289599989774,"[89, 99, 45, 96, 72, 9, 74, 88, 1, 38]","[600013, 601010, 602007, 603004, 604001, 604998, 605995, 606992, 607989, 608986]",551de74e6796e1e3842af5df370408b1d029c608234cc2125f25b0cd237361a3,6,6,6,6,4,0,0,0,0,660,36,624,0.05454545454545454,0,0.0,36,1.8333333333333333,802864,True,0,0,0,,0,0
6,TargetedFedPhoenix,1,0.125,10,update_norm,all,1,17.40999984741211,11.712467399978777,"[0, 86, 4, 23, 24, 1, 62, 83, 66, 93]","[700016, 701013, 702010, 703007, 704004, 705001, 705998, 706995, 707992, 708989]",69f6ef82a78e5337478f77ee30bf6a0d266113a6134312319db700f08943fd15,3,3,3,3,7,0,0,0,0,660,18,642,0.02727272727272727,0,0.0,18,2.6666666666666665,950760,True,0,0,0,,0,0
7,TargetedFedPhoenix,1,0.125,10,update_norm,all,1,26.940000534057617,9.734597800008487,"[6, 59, 72, 30, 91, 43, 75, 76, 15, 61]","[800019, 801016, 802013, 803010, 804007, 805004, 806001, 806998, 807995, 808992]",d2d2780b1a2e613668c861915648b3d9e88e9582c6507d1f0b2c03a8cf69c8d6,1,1,1,1,9,0,0,0,0,660,6,654,0.00909090909090909,0,0.0,6,2.0,1140912,True,0,0,0,,0,0
8,TargetedFedPhoenix,1,0.125,10,update_norm,all,1,23.809999465942383,10.427019599999767,"[44, 88, 74, 48, 59, 79, 25, 52, 45, 55]","[900022, 901019, 902016, 903013, 904010, 905007, 906004, 907001, 907998, 908995]",d82f80b662a396dd95047b6cb1743d912421b7f10c87f217715eafa2016d4f95,8,8,8,8,2,0,0,0,0,660,48,612,0.07272727272727272,1,0.020833333333333332,47,3.625,1183168,True,0,0,0,,0,0
9,TargetedFedPhoenix,1,0.125,10,update_norm,all,1,32.47999954223633,11.504063499975018,"[3, 60, 35, 33, 22, 66, 45, 68, 67, 75]","[1000025, 1001022, 1002019, 1003016, 1004013, 1005010, 1006007, 1007004, 1008001, 1008998]",647b289b8fc7ffbac16ce70ff12691a5e62d77800f62bbb7d9e3118a88fcd7e6,7,7,7,7,3,0,0,0,0,660,42,618,0.06363636363636363,2,0.047619047619047616,40,4.857142857142857,1246552,True,0,0,0,,0,0
10,TargetedFedPhoenix,1,0.125,10,update_norm,all,1,30.479999542236328,13.450412699981825,"[64, 91, 12, 52, 16, 65, 50, 68, 33, 30]","[1100028, 1101025, 1102022, 1103019, 1104016, 1105013, 1106010, 1107007, 1108004, 1109001]",e67b9059ff1f637c0c2dd3669ed5f94c9b646e1a321eaf2315ec44cd5a00d400,6,6,6,6,4,0,0,0,0,660,36,624,0.05454545454545454,0,0.0,36,3.1666666666666665,1331064,True,0,0,0,,0,0
