round,algorithm,seed,tfp_target_ratio,tfp_max_history_gap,tfp_score_type,tfp_target_layers,tfp_start_round,test_accuracy,round_train_seconds,selected_clients,task_seeds,global_state_sha256,clients_with_history,clients_history_eligible,clients_targeted,clients_dispatch_changed,clients_cold_start,clients_stale,clients_no_valid_history,clients_no_target_slots,clients_before_start_round,total_reset_slots,targeted_reset_slots,random_reset_slots,actual_target_fraction,baseline_random_overlap_slots,baseline_random_overlap_rate,replaced_reset_slots,mean_history_gap_for_targeted,history_memory_bytes,controller_rng_unchanged,failed_client_updates,residual_total_kernels,residual_valid_kernels,residual_valid_fraction,residual_own_reset_invalid,residual_no_clean_peer_invalid
1,TargetedFedPhoenix,1,0.25,10,update_norm,"features.20,features.24,features.27,features.30",1,10.0,16.60221709999314,"[80, 84, 33, 81, 93, 17, 36, 82, 69, 65]","[200001, 200998, 201995, 202992, 203989, 204986, 205983, 206980, 207977, 208974]",a54a841b1d8aaeb288f234a154b547d09329b79e22caa07bce35605dcd56155e,0,0,0,0,10,0,0,0,0,660,0,660,0.0,0,0.0,0,,211280,True,0,0,0,,0,0
2,TargetedFedPhoenix,1,0.25,10,update_norm,"features.20,features.24,features.27,features.30",1,14.279999732971191,9.160639000008814,"[44, 96, 1, 35, 26, 11, 38, 82, 87, 3]","[300004, 301001, 301998, 302995, 303992, 304989, 305986, 306983, 307980, 308977]",3723e3acdc1b62f3259d5c1daf158ae4271df6c103f9cf8da6535b34d6c93ffb,1,1,1,1,9,0,0,0,0,660,7,653,0.010606060606060607,0,0.0,7,1.0,401432,True,0,0,0,,0,0
3,TargetedFedPhoenix,1,0.25,10,update_norm,"features.20,features.24,features.27,features.30",1,12.960000038146973,9.533927799988305,"[95, 67, 96, 71, 1, 80, 99, 45, 52, 27]","[400007, 401004, 402001, 402998, 403995, 404992, 405989, 406986, 407983, 408980]",48f4f50522845a9bade64ce11b7377010da7a560805411e20652c8b52967c69a,3,3,3,3,7,0,0,0,0,660,21,639,0.031818181818181815,1,0.047619047619047616,20,1.3333333333333333,549328,True,0,0,0,,0,0
4,TargetedFedPhoenix,1,0.25,10,update_norm,"features.20,features.24,features.27,features.30",1,17.350000381469727,10.255458900006488,"[40, 10, 96, 66, 89, 32, 95, 55, 25, 5]","[500010, 501007, 502004, 503001, 503998, 504995, 505992, 506989, 507986, 508983]",151032d488eeff9fef5a61465f2e0eeae09e3cb5cff174524249934094e3a276,2,2,2,2,8,0,0,0,0,660,14,646,0.021212121212121213,0,0.0,14,1.0,718352,True,0,0,0,,0,0
5,TargetedFedPhoenix,1,0.25,10,update_norm,"features.20,features.24,features.27,features.30",1,33.869998931884766,7.361216400007834,"[89, 99, 45, 96, 72, 9, 74, 88, 1, 38]","[600013, 601010, 602007, 603004, 604001, 604998, 605995, 606992, 607989, 608986]",1c4c107ac5b2315bc77899817565441b04117eb351131c8df1f270fb59aab6e8,6,6,6,6,4,0,0,0,0,660,42,618,0.06363636363636363,0,0.0,42,1.8333333333333333,802864,True,0,0,0,,0,0
6,TargetedFedPhoenix,1,0.25,10,update_norm,"features.20,features.24,features.27,features.30",1,17.690000534057617,11.413493500003824,"[0, 86, 4, 23, 24, 1, 62, 83, 66, 93]","[700016, 701013, 702010, 703007, 704004, 705001, 705998, 706995, 707992, 708989]",a2e927c5c3041c494bcded791e2e2007bdc08d859f6b53b7a617b294ef463b82,3,3,3,3,7,0,0,0,0,660,21,639,0.031818181818181815,0,0.0,21,2.6666666666666665,950760,True,0,0,0,,0,0
7,TargetedFedPhoenix,1,0.25,10,update_norm,"features.20,features.24,features.27,features.30",1,21.329999923706055,9.564658999996027,"[6, 59, 72, 30, 91, 43, 75, 76, 15, 61]","[800019, 801016, 802013, 803010, 804007, 805004, 806001, 806998, 807995, 808992]",ab0151f95298f51aa73ff0c238edb4b9dc44c94dd82da9f40171dd2dd238a7ec,1,1,1,1,9,0,0,0,0,660,7,653,0.010606060606060607,0,0.0,7,2.0,1140912,True,0,0,0,,0,0
8,TargetedFedPhoenix,1,0.25,10,update_norm,"features.20,features.24,features.27,features.30",1,23.479999542236328,10.225358399999095,"[44, 88, 74, 48, 59, 79, 25, 52, 45, 55]","[900022, 901019, 902016, 903013, 904010, 905007, 906004, 907001, 907998, 908995]",ef8487ed9fb48a349a23182dc7533703dfa1102e605b04ca8c2a8f80a89c6aaf,8,8,8,8,2,0,0,0,0,660,56,604,0.08484848484848485,0,0.0,56,3.625,1183168,True,0,0,0,,0,0
9,TargetedFedPhoenix,1,0.25,10,update_norm,"features.20,features.24,features.27,features.30",1,28.899999618530273,11.132639400006155,"[3, 60, 35, 33, 22, 66, 45, 68, 67, 75]","[1000025, 1001022, 1002019, 1003016, 1004013, 1005010, 1006007, 1007004, 1008001, 1008998]",378acaea31d63c0f1f69620542ebd68ab8d09722e59cc5986b9fc463769b25cd,7,7,7,7,3,0,0,0,0,660,49,611,0.07424242424242425,2,0.04081632653061224,47,4.857142857142857,1246552,True,0,0,0,,0,0
10,TargetedFedPhoenix,1,0.25,10,update_norm,"features.20,features.24,features.27,features.30",1,29.280000686645508,13.231621099999757,"[64, 91, 12, 52, 16, 65, 50, 68, 33, 30]","[1100028, 1101025, 1102022, 1103019, 1104016, 1105013, 1106010, 1107007, 1108004, 1109001]",907524a5223ec0e9c693bfd277e9d9f23a53882f2e38cd3664ca59d9f9ca8db5,6,6,6,6,4,0,0,0,0,660,42,618,0.06363636363636363,1,0.023809523809523808,41,3.1666666666666665,1331064,True,0,0,0,,0,0
11,TargetedFedPhoenix,1,0.25,10,update_norm,"features.20,features.24,features.27,features.30",1,36.0,12.795115600005374,"[54, 27, 23, 37, 75, 33, 41, 46, 52, 24]","[1200031, 1201028, 1202025, 1203022, 1204019, 1205016, 1206013, 1207010, 1208007, 1209004]",fca7e222ff51e7a8b40aa4c3d6951124b9a8e3abb878d1694b8d2c109e68c7c3,6,6,6,6,4,0,0,0,0,660,42,618,0.06363636363636363,2,0.047619047619047616,40,3.6666666666666665,1415576,True,0,0,0,,0,0
12,TargetedFedPhoenix,1,0.25,10,update_norm,"features.20,features.24,features.27,features.30",1,36.95000076293945,10.042881000001216,"[54, 45, 28, 44, 15, 1, 93, 12, 88, 40]","[1300034, 1301031, 1302028, 1303025, 1304022, 1305019, 1306016, 1307013, 1308010, 1309007]",ad17754872423411cfeaf044269800c95e2ea25504734a5b86ac2a622dd34f3e,9,9,9,9,1,0,0,0,0,660,63,597,0.09545454545454546,2,0.031746031746031744,61,4.333333333333333,1436704,True,0,0,0,,0,0
